127.0.0.1 - - [05/Nov/2014:14:43:40 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Nov/2014:15:42:14 +0800] "GET /ForexConnectServlet/ HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [05/Nov/2014:15:42:14 +0800] "GET /ForexConnectServlet/assets/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:15:42:14 +0800] "GET /ForexConnectServlet/assets/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:15:42:18 +0800] "POST /ForexConnectServlet/AjaxServlet HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [05/Nov/2014:15:46:41 +0800] "POST /ForexConnectServlet/AjaxServlet HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:10:44 +0800] "POST /ForexConnectServlet/AjaxServlet HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:11:01 +0800] "POST /ForexConnectServlet/AjaxServlet HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/js/vendor/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/css/animation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/css/fontello.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/js/vendor/modernizr-2.6.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/js/plugin/holder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/js/vendor/jquery-finger-v0.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/js/plugin/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/js/plugin/jquery.localisation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/js/vendor/handlebars-v2.0.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:36 +0800] "GET /ForexConnectServlet/assets/js/vendor/jquery-ui-1.9.2.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/css/animation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/css/fontello.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/js/vendor/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/js/vendor/jquery-ui-1.9.2.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/js/vendor/modernizr-2.6.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/js/vendor/jquery-finger-v0.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/js/vendor/handlebars-v2.0.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/js/plugin/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/js/plugin/jquery.localisation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/js/plugin/holder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:40 +0800] "GET /ForexConnectServlet/assets/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:16:19:41 +0800] "GET /ForexConnectServlet/ HTTP/1.1" 304 -
